0;A
1;C
2;C
3;C
4;C
5;C
6;C
7;C
8;C
9;C
10;C
11;C
12;C
13;C
14;C
15;C
16;C
17;C
18;C
19;C
20;C
21;C
22;C
23;C
24;C
25;C
26;C
27;C
28;C
29;C
30;C
31;C
32;C
33;C
34;A
35;A
36;B
37;B
38;B
39;B
40;B
41;B
42;B
43;A
44;A
45;B
46;A
47;A
48;B
49;B
50;B
51;B
52;A
53;A
54;B
55;C
56;A
57;A
58;B
59;B
60;C
61;A
62;A
63;B
64;B
65;B
66;B
67;B
68;B
69;C
70;A
71;A
72;B
73;B
74;B
75;B
76;A
77;C
78;C
79;C
80;C
81;A
82;B
83;B
84;B
85;A
86;C
87;C
88;C
89;C
90;A
91;B
92;B
93;B
94;B
95;A
96;C
97;C
98;C
99;C
100;C
101;A
102;B
103;B
104;B
105;A
106;A
107;C
108;C
109;C
110;C
111;C
112;A
113;B
114;A
115;B
116;B
117;A
118;C
119;C
120;C
121;A
122;B
123;B
124;B
125;B
126;A
127;C
128;C
129;C
130;C
131;C
132;A
133;B
134;B
135;B
136;B
137;A
138;C
139;A
140;C
141;A
142;B
143;B
144;B
145;B
146;A
147;C
148;C
149;C
150;C
151;C
152;C
153;A
154;B
155;B
156;B
157;B
158;A
159;C
160;C
161;C
162;C
163;A
164;B
165;B
166;B
167;B
168;C
169;C
170;C
171;C
172;A
173;B
174;B
175;B
176;B
177;A
178;C
179;C
180;C
181;C
182;C
183;A
184;B
185;B
186;B
187;B
188;A
189;C
190;C
191;C
192;C
193;C
194;A
195;B
196;B
197;B
198;B
199;B
200;B
201;B
202;B
203;A
204;C
205;C
206;C
207;C
208;C
209;C
210;C
211;C
212;C
213;C
214;C
215;C
216;C
217;C
218;C
219;C
220;C
221;C
222;C
223;C
224;C
225;C
226;C
227;C
228;C
229;C
230;C
231;C
232;C
233;A
234;C
235;A
236;C
237;C
238;C
239;C
240;C
241;C
242;C
243;A
244;C
245;C
246;C
247;C
248;A
249;C
250;A
251;C
252;C
253;C
254;A
255;C
256;C
257;C
258;C
259;C
260;C
261;A
262;C
263;C
264;C
265;C
266;C
267;C
268;A
269;C
270;C
271;C
272;C
273;A
274;A
275;A
276;C
277;C
278;A
279;C
280;A
281;C
282;C
283;A
284;C
285;A
286;C
287;C
288;C
289;C
290;C
291;A
292;C
293;C
294;C
295;A
296;C
297;A
298;C
299;C
300;C
301;C
302;C
303;C
304;A
305;C
306;C
307;C
308;C
309;C
310;C
311;C
312;C
313;C
314;C
315;C
316;C
317;C
318;C
319;C
320;C
321;A
322;C
323;C
324;C
325;C
326;C
327;C
328;C
329;C
330;C
331;C
332;C
333;C
334;C
335;C
336;C
337;C
338;C
339;C
340;C
341;C
342;C
343;C
344;C
345;C
346;C
347;C
348;C
349;C
350;C
351;C
352;C
353;C
354;C
355;C
356;C
357;C
358;C
359;C
